Rank,Team,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS_AdjEM,Games_Won,Year
136,Vermont 16,25-10,3.08,104.1,101,66.1,0.068,-6.32,98.8,105.1,-3.11,0,2010
150,East Tennessee St. 16,20-15,2.47,100.9,98.4,66.8,-0.004,-1.26,102.1,103.3,8.97,0,2010
153,UC Santa Barbara 15,20-10,2.11,100,97.9,66.3,0.125,-1,102.8,103.8,3.46,0,2010
156,Morgan St. 15,27-10,1.58,105.5,104,68.6,0.078,-7.71,98.2,105.9,0.13,0,2010
175,North Texas 15,24-9,-0.47,103.4,103.8,67.4,0.113,-5.87,99.9,105.7,-2.96,0,2010
185,Robert Morris 15,23-12,-0.97,99.9,100.8,66.1,0.074,-7.18,98.1,105.3,3.47,0,2010
186,Lehigh 16,22-11,-0.97,105.6,106.6,68.9,0.018,-10.02,96.8,106.8,-8.95,0,2010
231,Arkansas Pine Bluff 16,18-16,-6.44,93.1,99.5,65.1,0.053,-7.62,96.4,104,17.98,0,2010
1,North Carolina 1,34-4,31.14,123.2,92.1,72.9,-0.011,9.91,108.2,98.3,1.06,6,2009
2,Connecticut 1,31-5,29.25,116,86.8,67.1,0.024,10.37,109,98.6,-1.68,4,2009
3,Pittsburgh 1,31-5,28.96,121.2,92.3,65.2,-0.012,10.11,108.1,98,0.79,3,2009
4,Memphis 2,33-4,28.67,112.8,84.2,65.9,-0.009,4.73,105.5,100.8,4.19,2,2009
5,Louisville 1,31-6,26.06,111.2,85.2,66.9,0.068,9.57,108.6,99,-0.19,3,2009
6,Missouri 3,31-7,24.81,116.6,91.8,70.9,0.031,7.96,106.4,98.4,-3.76,3,2009
7,Oklahoma 2,30-6,24.59,118.3,93.7,66.6,0.018,9.49,108.3,98.9,0.46,3,2009
8,Gonzaga 4,28-6,24.51,117.5,93,67.1,0.003,4.63,105.1,100.5,10.61,2,2009
9,Michigan St. 2,31-7,24.37,114.3,89.9,66.5,0.091,12.33,109.4,97.1,5.81,5,2009
10,Duke 2,30-7,24.31,117.5,93.2,66.3,0.053,10.23,108.5,98.3,3.18,2,2009
11,West Virginia 6,23-12,24.21,115.1,90.9,63.7,-0.067,10.95,108.9,98,2.11,0,2009
12,UCLA 6,26-9,23.93,119.5,95.6,65.3,-0.03,8.42,107.6,99.1,-3.43,1,2009
13,Villanova 3,30-8,23.89,114.4,90.5,68.3,0.021,9.99,108.9,98.9,-5.37,2,2009
14,Kansas 3,27-8,23.83,114.5,90.7,67.2,-0.013,8.83,107.9,99.1,1.55,2,2009
15,Arizona St. 6,25-10,23.03,118.2,95.2,59.1,-0.018,10.14,108.9,98.8,-2.04,1,2009
16,Syracuse 3,28-10,22.21,117,94.8,69.7,0.024,11.46,108.4,97,0.77,2,2009
17,Washington 4,26-9,22.09,113.1,91,72.2,-0.005,10.18,109.4,99.2,0.09,1,2009
18,Purdue 5,27-10,21.84,110.5,88.7,65.9,-0.012,8.94,107.2,98.3,-5.45,2,2009
19,Marquette 6,25-10,21.02,117.1,96.1,67.5,-0.014,8.22,107.8,99.5,-4.95,1,2009
20,Xavier 4,27-8,20.24,111,90.8,65.8,-0.008,5.81,105.8,100,7.97,2,2009
21,BYU 8,25-8,20.1,114,93.9,69,-0.046,4.57,105.4,100.9,0.39,0,2009
22,Texas 7,23-12,19.65,112.2,92.5,65.4,-0.048,10.16,109.2,99,2.01,1,2009
23,Clemson 7,23-9,19.62,116.4,96.7,67.9,-0.024,6.19,105.4,99.2,-4.45,0,2009
24,Wake Forest 4,24-7,18.88,111.6,92.7,72.8,0.051,7.66,107.5,99.9,-4.35,0,2009
25,Illinois 5,24-10,18.72,106.8,88.1,62.8,0.001,7.96,106.5,98.6,-3.36,0,2009
26,Oklahoma St. 8,23-12,18.33,116.4,98.1,69.3,-0.003,10.46,108.8,98.4,-0.28,1,2009
27,USC 10,22-13,18.26,110,91.8,63.7,-0.032,10.81,110.5,99.7,0.74,1,2009
28,Utah 5,24-10,17.8,110.8,92.9,65,0.013,7.29,107.9,100.6,6.96,0,2009
29,Wisconsin 12,20-13,17.62,113.3,95.7,59.1,-0.052,9.51,107.3,97.8,1.32,1,2009
30,California 7,22-11,17.37,116.8,99.4,66,0.001,9.17,108,98.8,-3.54,0,2009
32,Tennessee 9,21-13,16.48,115.1,98.7,67.7,-0.032,9.4,107.9,98.5,9.15,0,2009
34,Ohio St. 8,22-11,16.34,113.3,96.9,62.5,0.042,9.46,107.7,98.2,-3.41,0,2009
37,Arizona 12,21-14,15.96,117.7,101.8,64.9,0.018,11.33,109,97.7,2.34,2,2009
38,Butler 9,26-6,15.78,110.3,94.5,62.8,-0.014,2.51,103,100.5,6.15,0,2009
39,Florida St. 5,25-10,15.76,105.9,90.1,65.9,0.066,10.01,109.2,99.2,0.6,0,2009
40,Minnesota 10,22-11,15.43,108.1,92.6,64.5,0.031,8.44,107.4,98.9,-4.18,0,2009
44,Utah St. 11,30-5,15.12,116.7,101.6,60,0.046,-0.47,103.2,103.6,-2.77,0,2009
45,Texas A&M 9,24-10,15.01,113.1,98.1,63.9,0.053,7.85,107.1,99.3,-4.3,1,2009
46,LSU 8,27-8,14.86,111.5,96.6,66.1,0.075,3.5,104.6,101.1,-8.66,1,2009
47,Michigan 10,21-14,14.75,112.2,97.5,62.5,0.014,11.39,108.5,97.1,0.63,1,2009
50,Temple 11,22-12,14.38,109.9,95.5,63.5,-0.005,6.68,106.9,100.3,7.22,0,2009
54,VCU 11,24-10,13.62,110.1,96.4,65.8,-0.073,0.23,102.9,102.7,3.46,0,2009
55,Maryland 10,21-14,13.55,110,96.4,66.3,0.039,9.61,108.3,98.7,-3.29,1,2009
61,North Dakota St. 14,26-7,12.29,114.3,102,67.5,-0.009,-1.6,103.1,104.7,2.21,0,2009
66,Cleveland St. 13,26-11,11.96,105.3,93.3,63.7,0.009,3.76,104.6,100.9,7.07,1,2009
67,Siena 9,27-8,11.93,110.3,98.4,70.7,0.031,0.91,102.4,101.5,7.27,1,2009
69,Mississippi St. 13,23-13,11.55,107.8,96.2,67.2,-0.004,4.96,105.3,100.3,-3.07,0,2009
74,Boston College 7,22-12,11.2,113.2,102,65.3,0.038,6.4,106.6,100.2,-5.57,0,2009
78,Dayton 11,27-8,10.23,103.3,93,64.5,0.107,2.34,104.9,102.6,-4.57,1,2009
83,Northern Iowa 12,23-11,9.7,110.6,100.9,60.8,0.051,3.1,104.7,101.6,1.88,0,2009
88,Western Kentucky 12,25-9,8.1,111.1,103,65.6,0.092,-0.6,102.2,102.8,6.63,1,2009
95,Akron 13,23-13,6.9,102.9,96,64.8,-0.014,-1.6,100.9,102.5,-1.83,0,2009
101,Stephen F. Austin 14,24-8,6.52,97,90.4,62.4,0.053,-1.98,101.9,103.9,4.63,0,2009
105,East Tennessee St. 16,23-11,5.67,106.4,100.7,69.6,-0.048,-4.73,100.2,105,-1.26,0,2009
107,Cornell 14,21-10,5.23,108.5,103.3,65.4,-0.005,-5.58,99,104.6,-0.5,0,2009
108,Cal St. Northridge 15,17-14,5.18,102.2,97,71.8,-0.045,0.26,104,103.7,5.14,0,2009
112,American 14,24-8,4.7,105.3,100.6,60.7,0.093,-6.34,97.6,104,0.55,0,2009
118,Portland St. 13,23-10,4.04,109.2,105.1,64.8,0.025,-3.32,101.5,104.8,0,0,2009
146,Robert Morris 15,24-11,1.49,102,100.6,66,0.055,-7.27,99.3,106.5,0.44,0,2009
150,Morgan St. 15,23-12,0.99,100.1,99.1,65.5,0.031,-7.43,98.2,105.7,4.82,0,2009
157,Morehead St. 16,20-16,0.76,102,101.3,65.3,0.015,-1.9,103.6,105.5,3.49,0,2009
176,Radford 16,21-12,-0.86,101.2,102.1,69.2,0.076,-4.54,101,105.5,8.71,0,2009
177,Binghamton 15,23-9,-0.98,102.3,103.3,67.2,0.13,-5.64,99.6,105.3,-4.08,0,2009
213,Chattanooga 16,18-17,-4.04,104.3,108.4,69.5,0.041,-3.37,102.1,105.5,12.4,0,2009
1,Kansas 1,37-3,35.21,120.9,85.7,66.8,0.012,9.57,109.2,99.6,-1.41,6,2008
2,Memphis 1,38-2,31.51,118,86.5,68.1,0.012,5.83,107,101.1,5.45,5,2008
3,North Carolina 1,36-3,30.22,122.1,91.9,72.5,0.05,10.18,108,97.8,1.5,4,2008
4,UCLA 1,35-4,29.94,118,88.1,64.1,0.047,10.03,109.3,99.3,-1.63,4,2008
5,Wisconsin 3,31-5,26.68,113.5,86.8,61.1,0.043,7.35,107.1,99.8,-0.19,2,2008
6,Duke 2,28-6,26.4,116.3,89.9,71.5,-0.006,10.06,109.1,99,3.36,1,2008
7,Georgetown 2,28-6,25.56,115.2,89.7,60.5,0.029,8.48,108.2,99.8,-2.72,1,2008
8,Louisville 3,27-9,25.41,113.1,87.7,65.3,-0.057,9.34,108.4,99,0.79,3,2008
9,Texas 2,31-7,25.09,120.6,95.5,63.9,0.044,10.37,108.4,98,0.04,3,2008
10,Washington St. 4,26-9,24.32,115.1,90.8,58.3,-0.004,8.99,109,100,-6.51,2,2008
11,Davidson 10,29-7,23.61,117,93.4,66.2,-0.036,3.36,105.2,101.8,14.93,3,2008
12,Stanford 3,28-8,22.75,113.6,90.9,63.4,0.04,9.32,109.1,99.7,-6.32,2,2008
13,Tennessee 2,31-5,22.17,116.2,94,70.7,0.11,9.58,109.4,99.8,7.64,2,2008
14,Marquette 6,25-10,22.16,115.3,93.1,66.6,-0.027,8.62,107.9,99.3,-6.37,1,2008
15,Xavier 3,30-7,22.05,117.3,95.2,63.8,0.054,6.94,108.1,101.2,3.5,3,2008
16,Clemson 5,24-10,22.03,114,91.9,68,-0.044,9.53,109.3,99.8,0.31,0,2008
17,Drake 5,28-5,21.46,120,98.5,62.9,0.011,4.89,105.5,100.6,0.11,0,2008
18,West Virginia 7,26-11,21.29,114.6,93.3,63.8,-0.019,9,108.5,99.5,-1.98,2,2008
19,Michigan St. 5,27-9,21.15,115.8,94.7,63.3,0.032,8.71,108.2,99.5,0.59,2,2008
20,Butler 7,30-4,19.97,116.2,96.2,59.5,0.002,2.79,104.3,101.5,5.43,1,2008
21,Texas A&M 9,25-11,19.93,112.3,92.3,61.8,0.004,8.28,107.4,99.1,-5.13,1,2008
22,Pittsburgh 4,27-10,19.91,116.5,96.6,63.9,0.027,9.52,107.8,98.3,-1.69,1,2008
23,Arizona 10,19-15,19.14,116.4,97.3,63.5,-0.079,12.72,110.3,97.6,8.75,0,2008
24,Notre Dame 5,25-8,19.07,114.6,95.6,69.5,0.042,6.88,107.5,100.6,-7.02,1,2008
25,Gonzaga 7,25-8,19.05,114.5,95.5,65.9,-0.029,2.57,104,101.5,7.71,0,2008
26,Kansas St. 11,21-12,18.9,114.2,95.3,69.7,-0.049,9.09,108,98.9,-2.73,1,2008
27,Connecticut 4,24-9,18.9,115.2,96.3,67.1,-0.001,7.67,107.7,100,-1.27,0,2008
28,USC 6,21-12,18.67,110.5,91.9,65.2,-0.005,11.18,109.7,98.5,0.4,0,2008
29,Indiana 8,25-8,18.43,114.6,96.1,66.2,0.037,6.28,106.6,100.3,-2.3,0,2008
30,Purdue 6,25-9,18.3,110.5,92.2,66.9,-0.025,6.41,106.2,99.7,-3.61,1,2008
33,Mississippi St. 8,23-11,16.77,108.2,91.5,66.6,-0.043,6.22,108.1,101.8,-1.48,1,2008
35,BYU 8,27-8,15.76,107.4,91.7,67.8,0.027,1.47,104.2,102.7,-4.23,0,2008
36,Oregon 9,18-14,15.66,118.8,103.1,65.8,-0.035,10.56,108.9,98.4,0.11,0,2008
37,Miami FL 7,23-11,15.38,112.5,97.1,65.8,-0.003,7.78,106.7,98.9,-5.55,1,2008
40,Arkansas 9,23-12,15.19,111.4,96.2,66.5,0.008,7.19,108.4,101.2,-0.61,1,2008
41,Baylor 11,21-11,14.82,115.7,100.9,70.1,-0.028,7.58,106.9,99.3,-4.83,0,2008
42,Saint Mary's 10,25-7,14.66,109.2,94.6,66.4,0.03,0.11,103.4,103.3,2.34,0,2008
43,Western Kentucky 12,29-7,14.6,111.9,97.3,68.2,-0.021,-0.85,103.3,104.2,1.69,2,2008
44,Oklahoma 6,23-12,14.47,109.5,95.1,63.1,0.077,9.45,108.3,98.9,-0.55,1,2008
45,Saint Joseph's 11,21-13,14.32,115.1,100.8,64,-0.069,5.81,106.9,101.1,1.34,0,2008
46,Villanova 12,22-13,14.21,109.2,95,68.1,0.037,9.14,108.9,99.8,-2.4,2,2008
48,UNLV 8,27-8,13.71,110.2,96.5,63.9,0.081,3.1,104.3,101.2,-0.86,1,2008
55,Kent St. 9,28-7,13.04,107.8,94.8,65.1,0.075,1.03,103.5,102.5,-0.11,0,2008
56,Vanderbilt 4,26-8,12.65,112.3,99.6,68.2,0.11,5.2,107.4,102.2,-1.7,0,2008
57,Temple 12,21-13,12.37,112.8,100.4,63.6,-0.018,6.08,107.4,101.3,3.73,0,2008
65,South Alabama 10,26-7,11.8,112.6,100.8,64.8,-0.002,-2.07,103.1,105.2,0.9,0,2008
77,Oral Roberts 13,24-9,10.27,104.7,94.5,63.6,0.032,-0.01,105.4,105.4,8.75,0,2008
78,Kentucky 11,18-13,10.01,107.8,97.8,62.4,0.01,6.74,107.4,100.7,-3.13,0,2008
80,George Mason 12,23-11,9.68,110.7,101,61.6,-0.01,-0.57,102.6,103.2,2.28,0,2008
88,Cal St. Fullerton 14,24-9,8.47,112.3,103.9,71.6,-0.01,-3.95,101.5,105.5,-3.01,0,2008
91,Georgia 14,17-17,8.08,104.3,96.2,64.7,-0.032,7.55,108.5,101,-4.1,0,2008
93,Siena 13,23-11,7.99,108.6,100.7,67.6,0.036,-1.41,104.1,105.5,3.69,1,2008
104,Winthrop 13,22-12,6.38,99.5,93.1,61.6,0,-1.01,105.1,106.1,7.81,0,2008
112,Portland St. 16,23-10,5.4,108.6,103.2,66.3,0.062,-3.5,102.7,106.2,3.95,0,2008
120,San Diego 13,22-14,4.64,101.6,97,63,0.045,1.43,104.3,102.9,2.61,1,2008
123,Cornell 14,22-6,4.41,110.1,105.7,67.9,0.086,-6.93,99.1,106,-3.59,0,2008
126,Boise St. 14,25-9,3.89,108.7,104.8,70.7,0.085,-2.64,103.3,105.9,-3.36,0,2008
127,UMBC 15,24-9,3.86,113.2,109.3,63.7,0.057,-4.31,100.7,105,2.68,0,2008
129,Belmont 15,25-9,3.53,109.7,106.2,68.6,0.075,-5.21,100.9,106.1,0.51,0,2008
150,American 15,21-12,1.67,107.9,106.3,60.4,0.045,-4.23,99.9,104.1,-2.17,0,2008
168,Austin Peay 15,24-11,-0.3,104.6,104.9,65.5,0.086,-6.35,102.5,108.8,5.19,0,2008
173,Mount St. Mary's 16,19-15,-1.32,99.3,100.6,66.1,0.014,-5.35,101.6,106.9,-0.05,0,2008
180,UT Arlington 16,21-12,-2.31,101.3,103.6,68.6,0.045,-4.81,99.5,104.3,-5.9,0,2008
306,Mississippi Valley St. 16,17-16,-15.21,91.9,107.1,63,0.115,-11,96.7,107.7,13.04,0,2008
1,North Carolina 1,31-7,31.37,121,89.6,72.4,-0.046,10.95,111,100.1,3.1,3,2007
2,Florida 1,35-5,30.81,122.8,92,65.8,0.028,8.73,109.1,100.3,-6.87,6,2007
3,Ohio St. 1,35-4,29.33,121,91.7,64.9,0.057,9.82,109,99.2,-1.71,5,2007
4,Georgetown 2,30-7,28.48,122,93.5,59.4,0.006,10.41,109.7,99.3,-1.02,4,2007
5,Kansas 1,33-5,27.81,115.3,87.5,68.7,0.031,6.86,108.1,101.2,-0.93,3,2007
6,UCLA 2,30-6,27.15,115.4,88.3,63.7,0.019,11.08,111,99.9,5.93,4,2007
7,Texas A&M 3,27-7,26.97,119.3,92.3,63.7,-0.047,5.38,106.7,101.4,-5.98,2,2007
8,Wisconsin 2,30-6,25.45,115.6,90.1,63.8,0.034,7.78,108.1,100.3,-1.57,1,2007
9,Memphis 2,33-4,24.81,115.4,90.6,68.4,0.03,2.93,105.3,102.4,3.41,3,2007
10,Duke 6,22-11,23.3,113.2,89.9,64.5,-0.074,11.3,110.7,99.4,3.88,0,2007
11,Pittsburgh 3,29-8,22.9,118.1,95.2,62.2,0.033,9.54,109.6,100.1,0.72,2,2007
12,Maryland 4,25-9,22.42,112.4,90,71.4,-0.027,8.48,108.9,100.4,-3.07,1,2007
13,Kentucky 8,22-12,21.73,117,95.3,65.8,-0.029,13.23,111,97.8,8.21,1,2007
14,Indiana 7,21-11,21.58,115.4,93.8,64.9,-0.058,9.96,108.5,98.5,1.51,1,2007
15,Butler 5,29-7,21.45,118,96.5,58.1,0.016,4.77,106.6,101.8,6.61,2,2007
16,Southern Illinois 4,29-7,21.03,109.8,88.8,61,0.017,10.19,110.2,100,7.3,2,2007
17,Michigan St. 9,23-12,20.97,112.8,91.8,60.3,-0.036,9.07,109.2,100.2,-1.63,1,2007
18,Oregon 3,29-8,20.76,118.3,97.6,66,0.031,7.19,108,100.8,-9.09,3,2007
19,Louisville 6,24-10,20.35,113.5,93.1,64.2,-0.046,7.29,107.9,100.6,-3.61,1,2007
21,Villanova 9,22-11,20.11,113.4,93.3,65.8,-0.036,11.02,110.5,99.5,2.82,0,2007
22,Notre Dame 6,24-8,20.02,118.1,98.1,70.7,-0.018,4.03,105.9,101.9,-13.12,0,2007
23,Georgia Tech 10,20-12,19.61,116.9,97.3,67.2,-0.067,9.63,109.5,99.9,-3.11,0,2007
24,Arizona 8,20-11,19.43,119.5,100.1,68.3,-0.009,12.2,110.4,98.2,10.23,0,2007
25,Texas 4,25-10,19.24,119.5,100.3,67.6,-0.008,7.56,108.1,100.6,-2,1,2007
27,Washington St. 3,26-8,18.87,111.7,92.8,60,0.004,6.79,107.6,100.9,-4.96,1,2007
28,Creighton 10,22-11,18.53,113.8,95.3,62.7,-0.023,8.84,108.3,99.4,4.1,0,2007
30,Purdue 9,22-12,18.31,110.7,92.4,66.5,0.002,9.37,109.8,100.4,1.08,1,2007
31,Tennessee 5,24-11,18.29,115.9,97.6,71.3,0.035,10.57,110.3,99.8,1.81,2,2007
32,Xavier 9,25-9,18.13,117.3,99.2,66.2,-0.047,2.83,106.5,103.6,3.4,1,2007
36,Illinois 12,23-12,17.5,107.3,89.8,62,-0.017,8.06,108.4,100.4,-0.2,0,2007
37,Virginia Tech 5,22-12,17.38,112.4,95,63.7,-0.004,9.85,109.9,100.1,0.79,1,2007
38,Marquette 8,24-10,17.18,111.8,94.6,67.6,0.009,7.59,108.3,100.7,-4.27,0,2007
39,USC 5,25-12,16.86,111,94.2,67.1,0.016,8.26,108.3,100,-6.62,2,2007
41,UNLV 7,30-7,16.83,112.6,95.8,65.2,0.098,5.61,109.1,103.5,2.29,2,2007
42,Arkansas 12,21-14,16.62,110.6,93.9,66.1,-0.021,10.1,110.3,100.2,1.28,0,2007
43,Vanderbilt 6,22-12,16.23,115.7,99.4,66.6,0.008,9.34,109.5,100.2,-2.74,2,2007
44,Boston College 7,21-12,16.18,117.3,101.1,64.3,0.026,10.36,110.7,100.4,-2.41,1,2007
46,BYU 8,25-9,16.11,116.7,100.6,67.6,0.001,4.24,106.8,102.5,-0.3,0,2007
47,Nevada 7,29-5,16.09,117.2,101.2,66.3,0.03,1.98,104.2,102.2,1.53,1,2007
48,Virginia 4,21-11,15.43,114.1,98.7,67.9,0.006,8.27,109.2,100.9,-4.35,1,2007
49,Gonzaga 10,23-11,15.31,115.3,100,67.1,-0.032,4.15,106.7,102.5,9.52,0,2007
51,Winthrop 11,29-5,14.81,112.9,98,61.9,0.055,-2.71,103.1,105.8,15.06,1,2007
52,VCU 11,28-7,14.55,116.6,102,65.5,0.002,0.2,104.2,104,0.25,1,2007
61,Davidson 13,29-5,13.32,111.8,98.5,71.9,0.067,-1.7,103.2,104.9,4.64,0,2007
64,Old Dominion 12,24-9,12.7,108.6,95.9,65.8,0.013,0.84,105.6,104.8,0.64,0,2007
66,Stanford 11,18-13,12.37,109.7,97.3,65.9,0.028,9.5,109.2,99.7,-0.33,0,2007
71,Texas Tech 10,21-13,10.98,112.2,101.3,64.9,0.056,7.79,108.3,100.5,2.29,0,2007
87,Miami OH 14,18-15,8.38,105.7,97.4,58.1,-0.024,4.09,106.2,102.1,6.44,0,2007
88,Oral Roberts 14,23-11,8.36,107.1,98.7,66.5,-0.007,-0.93,104.9,105.8,4.23,0,2007
91,Texas A&M Corpus Chris 15,26-7,7.76,114.1,106.4,68.1,0.057,-5.12,100.8,105.9,2.12,0,2007
92,Penn 14,22-9,7.69,109.8,102.1,67.9,0.047,-2.74,102.5,105.3,1.14,0,2007
93,Holy Cross 13,25-9,7.4,103,95.6,62.5,0.025,-3.7,101.5,105.2,0.98,0,2007
95,George Washington 11,23-9,7.28,105,97.7,66.9,0.089,-0.57,104.7,105.3,-5.16,0,2007
96,New Mexico St. 13,25-9,7.27,108.3,101.1,69.7,0.035,-0.3,104.2,104.5,-3.75,0,2007
100,Wright St. 14,23-10,6.66,104.5,97.8,63,0.137,0.23,105.7,105.5,-2.57,0,2007
113,Long Beach St. 12,24-8,5.44,112.2,106.8,71,0.11,-3.34,102,105.4,-2.96,0,2007
121,Belmont 15,23-10,4.38,106.6,102.2,66.1,0.022,-6.74,100,106.8,2.22,0,2007
138,Albany 13,23-10,2.25,107.4,105.2,63.7,0.109,-3.47,102.4,105.9,0.94,0,2007
162,North Texas 15,23-11,-0.98,103,104,69.1,0.034,-6.4,102.2,108.6,-2.88,0,2007
177,Central Connecticut 16,22-12,-2.24,104.1,106.3,63.3,0.06,-8.44,100.4,108.8,-5.1,0,2007
182,Eastern Kentucky 16,21-12,-2.58,102.7,105.3,61.3,0.078,-6.17,101.8,107.9,6.66,0,2007
184,Weber St. 15,20-12,-2.71,102.1,104.8,65.2,0.098,-3.46,104.8,108.3,1.83,0,2007
186,Niagara 16,23-12,-2.76,107.2,110,68.3,0.118,-6.17,101.3,107.5,-5.19,0,2007
251,Jackson St. 16,21-14,-9.48,100.2,109.7,69.7,0.14,-10.16,95.6,105.8,7.09,0,2007
1,Florida 3,33-6,28.28,117.9,89.7,66.9,-0.011,8.35,107.7,99.3,-8.46,6,2006
2,Duke 1,32-4,27.54,119.4,91.8,69.8,0.047,10.51,108.1,97.6,6.81,2,2006
3,Texas 2,30-7,25.79,117.5,91.7,63.9,0.039,7.79,106.1,98.3,-0.02,3,2006
4,Connecticut 1,30-4,25.44,117.8,92.3,68.7,0.077,8.98,107.4,98.4,-3.8,3,2006
5,Villanova 1,28-5,24.59,116.3,91.7,65.6,0.08,10.79,108.4,97.6,3.17,3,2006
6,Memphis 1,33-4,23.54,113.2,89.6,70.8,-0.007,3.89,103.9,100,7.82,3,2006
7,UCLA 2,32-7,23.4,112.7,89.3,61.6,0.02,8.3,107.4,99.1,1.6,5,2006
8,Kansas 4,25-8,23.22,110.4,87.2,67.7,-0.043,6.03,106,99.9,-1.11,0,2006
9,Illinois 4,26-7,23.2,114.5,91.3,62.1,-0.019,6.77,106.4,99.6,-4.52,1,2006
10,North Carolina 3,23-8,22.16,115.9,93.7,70.2,-0.01,9.1,107.6,98.6,-0.83,1,2006
11,LSU 4,27-9,22,109.8,87.8,67.5,0.008,10.68,108.3,97.6,1.75,4,2006
12,Pittsburgh 5,25-8,21.72,112.4,90.6,64.6,-0.031,7.81,108,100.1,-6.92,1,2006
13,Georgetown 7,23-10,21.29,116.5,95.2,57.8,-0.026,9.58,108.1,98.5,-1.83,2,2006
14,Ohio St. 2,26-6,20.68,113,92.3,65.2,0.028,6.74,107,100.3,-3.33,1,2006
15,Washington 5,26-7,20.09,114.8,94.7,71.6,0.007,5.21,105.5,100.3,-7.56,2,2006
16,West Virginia 6,22-11,19.49,116.1,96.6,62.5,-0.046,10.37,108.4,98,-0.49,2,2006
17,Tennessee 2,22-8,19.44,116.6,97.2,71.1,0.012,9.44,108,98.5,-0.74,1,2006
18,Boston College 4,28-8,18.65,117.8,99.2,61.5,0.024,7.43,107.1,99.7,-5.69,2,2006
20,Arkansas 8,22-10,18.47,112.2,93.8,66,-0.062,6.35,106,99.6,-4.78,0,2006
21,Iowa 3,25-9,18.22,103.8,85.6,64.7,0.046,7.86,107.7,99.9,-0.77,0,2006
22,George Mason 11,27-8,18.16,109.7,91.5,62.6,0.017,4.11,105.3,101.2,2.16,4,2006
23,Arizona 8,20-13,17.23,112.2,95,67.7,-0.037,10.53,108,97.5,9.27,1,2006
24,Kentucky 8,22-13,17.13,114.4,97.3,64.1,-0.001,10.02,108.2,98.2,3.02,1,2006
25,Bradley 13,22-11,16.5,107.5,91,69.3,-0.019,6.94,105.4,98.5,-2.22,2,2006
26,Wichita St. 7,26-9,16.06,111.8,95.7,62.6,0.032,6.03,104.7,98.7,0.35,2,2006
27,Michigan St. 6,22-12,16.02,116.3,100.3,64.2,0.004,8.89,106.4,97.5,-1.03,0,2006
30,North Carolina St. 10,22-10,15.92,112.5,96.6,64.4,0.013,6.74,107.1,100.3,-7.99,1,2006
31,Texas A&M 12,22-9,15.9,106.7,90.8,63,-0.008,4.22,104.8,100.6,-12.2,1,2006
32,Northern Iowa 10,23-10,15.84,109,93.1,59.6,-0.025,6.18,104.4,98.2,0.24,0,2006
33,Gonzaga 3,29-4,15.64,119.1,103.5,66.3,0.036,4.38,104.4,100,7.98,2,2006
34,Indiana 6,19-12,15.53,110,94.4,66.5,-0.012,9.77,108.8,99,2.17,1,2006
36,Marquette 7,20-11,15.36,112.8,97.4,68.1,-0.012,8.82,108.6,99.8,-1.71,0,2006
37,Nevada 5,27-6,15.22,110,94.8,65.8,0.024,1.9,103.6,101.7,3.89,0,2006
39,Wisconsin 9,19-12,14.94,111.5,96.6,65.2,-0.024,7.96,106.6,98.6,0.91,0,2006
40,Air Force 13,24-7,14.87,113.2,98.3,54.7,-0.001,0.57,102.8,102.2,-6.63,0,2006
42,UNC Wilmington 9,25-8,14.77,107.2,92.4,62.6,-0.006,1.59,103.6,102,0.11,0,2006
43,George Washington 8,27-3,14.67,110.3,95.6,71.2,0.106,-1.23,101.1,102.4,-15.01,1,2006
45,Oklahoma 6,20-9,13.99,113,99,62.4,0.049,6.16,105.5,99.3,-0.61,0,2006
47,California 7,20-11,13.68,110.5,96.8,61.9,0.021,7.59,106.8,99.3,-0.77,0,2006
48,Southern Illinois 11,22-11,13.6,102.9,89.3,60.7,0.032,5.81,103.6,97.8,0.44,0,2006
50,Syracuse 5,23-12,13.15,110,96.8,68.3,0.077,8.71,107.5,98.8,-3.79,0,2006
52,San Diego St. 11,24-9,12.78,112.8,100,66.1,-0.001,2.27,103.7,101.5,-2.2,0,2006
54,Xavier 14,21-11,12.73,110.9,98.2,65.3,-0.065,1.91,103.6,101.6,-3.38,0,2006
56,UAB 9,24-7,12.65,109.1,96.5,68.5,0.058,1.51,101.8,100.3,0.98,0,2006
58,Bucknell 9,27-5,12.56,105.7,93.1,61.8,0.092,-3.17,100.2,103.4,7.18,1,2006
60,Alabama 10,18-13,12.48,112.8,100.3,63.4,0.005,9.21,107.7,98.4,1.6,1,2006
62,Milwaukee 11,22-9,11.86,108.3,96.5,67.7,0.017,1.54,104.9,103.4,4.95,1,2006
65,Iona 13,23-8,11.33,109.7,98.4,69.6,0.024,0.66,106,105.3,3.83,0,2006
68,Pacific 13,24-8,10.87,109.8,99,62.8,0.01,-1.99,102.7,104.7,0.54,0,2006
69,Utah St. 12,23-9,10.86,113.4,102.6,60.9,0.026,1.59,102.8,101.2,-2.41,0,2006
70,Kent St. 12,25-9,10.54,108.3,97.8,65.7,0.017,0.67,103.2,102.5,-1.52,0,2006
73,Winthrop 15,23-8,10.27,104.4,94.2,64,-0.027,-5.29,102.1,107.4,8.15,0,2006
84,South Alabama 14,24-7,9.28,109.1,99.9,65.7,0.056,-2.51,100.8,103.3,-3.47,0,2006
